"STATION","NAME","DATE","AWND","TMAX","TMIN","WDF2","WSF2"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-01",,"86","61",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-02",,"91","66",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-03",,"91","62",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-04",,"90","68",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-05",,"94","68",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-06",,"90","67",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-07",,"91","71",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-08",,"92","71",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-09",,"89","66",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-10",,"89","68",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-11",,"87","68",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-12",,"79","59",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-13",,"75","53",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-14",,"77","54",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-15",,"74","56",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-16",,"76","51",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-17",,"77","57",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-18",,"77","52",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-19",,"83","56",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-20",,"88","67",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-21",,"87","66",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-22",,"87","68",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-23",,"85","66",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-24",,"85","65",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-09-25",,"88","67",,
